# Phonalyser domain glossary — English ↔ Ukrainian (en-uk)
# Format: english<TAB>ukrainian<TAB>note   (see README.md). Sorted by English.
ADC	АЦП	аналого-цифровий перетворювач
amplitude	амплітуда
attenuation	послаблення
averaging	усереднення
bit depth	розрядність	також «бітність»
calibration	калібрування
chirp	чірп	різновид свіпу; також «лінійно-частотно-модульований сигнал»
coherent averaging	когерентне усереднення
compensated sine	компенсований синус	синус із передспотворенням
DAC	ЦАП	цифро-аналоговий перетворювач
DDS	DDS	пряма цифрова синтезація (Direct Digital Synthesis); абревіатуру не перекладати
deconvolution	Зворотня згортка або розгортка
dither	дитеринг
duty cycle	прогальність	НЕ «скважність» (русизм) і не «шпаруватість»
dual tone	двотональний сигнал (для IMD)
ENOB	ENOB	ефективна кількість бітів; абревіатуру не перекладати
FFT	FFT	швидке перетворення Фур'є (ШПФ); у застосунку лишають «FFT»
flat-top window	вікно flat-top	вікно з плоскою вершиною
frequency	частота
frequency response	частотна характеристика	АЧХ; фазова частина — ФЧХ
fundamental	основна частота	«основа», «основний тон»
generator	генератор
Goertzel	Герцель	алгоритм Герцеля
harmonic	гармоніка
hysteresis	гістерезис
impulse response	імпульсна характеристика	IR
IMD	IMD	інтермодуляційні спотворення; абревіатуру не перекладати
intermodulation	інтермодуляція
loopback	петлевий тест	шлейф «вихід→вхід»
mains hum	мережевий гул	фон мережі (50/60 Гц)
main lobe	головна пелюстка
module	модуль
noise floor	рівень шуму	не «шумова підлога»
notch	режекторний провал	режекторний фільтр — «режектор»
oscilloscope	осцилограф
overlap	перекриття
phase	фаза
pink noise	рожевий шум
predistortion	передспотворення
quantization	квантування
rectangle	прямокутник	прямокутний сигнал; «меандр» лише для шпаруватості 50%
REW	REW	Room EQ Wizard (програма); власна назва, не перекладати
RIAA	RIAA	крива корекції RIAA; не перекладати
RMS	СКЗ	середньоквадратичне значення; в UI часто лишають «RMS»
sample (audio)	відлік	розмовно «семпл»
sample rate	частота дискретизації	розмовно «частота семплювання»
sawtooth	пилкоподібний сигнал	«пилка»
sidelobe	бічна пелюстка
sine	синус	синусоїда
SINAD	SINAD	відношення сигнал/(шум+спотворення); не перекладати
SNR	SNR	відношення сигнал/шум; абревіатуру не перекладати
spectrum	спектр
square wave	меандр	прямокутний сигнал зі шпаруватістю 50%
sweep	свіп	розгортка частоти; «качання частоти»
THD	THD	сумарний коефіцієнт гармонік; абревіатуру не перекладати
THD+N	THD+N	сумарний коефіцієнт гармонік із шумом; не перекладати
transfer function	передавальна функція
triangle	трикутник
trigger	синхронізація	осцилографічний тригер; також «тригер»
unit	Одиниця виморювання
waveform	форма сигналу
white noise	білий шум
window (FFT)	вікно	віконна функція
