# Phonalyser domain glossary — English ↔ German (en-de)
# Format: english<TAB>german<TAB>note   (see README.md). Sorted by English.
Coherent average    Kohärente Mittelung
Coherent averaging    Kohärente Mittelung
Noise floor Grundrauschen
de-embedded entbettete
